lr	epochs	layers	batch_size	accuracy	validation_set_size	test_set_size
0.005	30	40	512	0.9764309764309764	18.0	2.0
0.005	30	40	512	1.0	18.0	2.0
0.005	30	40	512	1.0	18.0	2.0
0.005	30	40	512	tensor(1.)	18.0	2.0
0.005	30	40	512	tensor(1. complete batch)	18.0	2.0
