lr	epochs	layers	batch_size	accuracy	test_set_size
0.05	100	2	30	1.0	40.0
0.05	100	2	30	1.0	40.0
0.05	100	2	30	1.0	40.0
0.05	100	2	30	1.0	40.0
0.05	100	2	30	tensor(1.)	40.0
